DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:37,2021-01-28 21:45:42,Interna - Nao Programada - Proprias do sistema - Desligamento para manutencao emergencial,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:37,2021-01-28 21:45:42,Interna - Nao Programada - Proprias do sistema - Desligamento para manutencao emergencial,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 00:35:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 00:35:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 00:35:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-28 20:19:03,2021-01-29 00:35:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-05-26 01:46:28,2021-05-26 06:27:08,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-07-13 14:09:34,2021-07-13 15:46:33,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,Programada,0,2021-05-25 21:58:20,2021-05-25 22:03:00,Interna - Programada - Alteracao - Para melhoria,2021
AUGUSTA,Programada,0,2021-03-06 12:41:14,2021-03-06 13:08:31,Interna - Programada - Alteracao - Para melhoria,2021
AUGUSTA,NAPSo Programada,0,2021-03-08 09:23:49,2021-03-08 12:25:55,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-06-24 15:45:22,2021-06-25 14:51:24,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,NAPSo Programada,0,2021-07-10 14:56:00,2021-07-10 17:17:00,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2021
AUGUSTA,NAPSo Programada,0,2021-07-11 05:51:34,2021-07-11 20:32:25,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
