DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,NAPSo Programada,0,2018-02-09 18:13:02,2018-02-09 21:04:20,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-10-25 08:29:22,2018-10-25 11:13:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-06-23 09:34:31,2018-06-23 13:27:31,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 09:26:44,2018-05-07 10:32:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,7,2018-01-28 11:57:00,2018-01-28 12:07:00,Interna - Nao Programada - Alivio de carga,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-15 14:38:21,2018-11-15 23:20:29,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-23 11:52:29,2018-06-23 16:50:54,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-03 08:31:14,2018-04-03 12:26:24,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-09 06:52:40,2018-01-09 11:08:21,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 13:35:00,2018-05-07 13:39:52,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 13:35:00,2018-05-07 13:39:52,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 13:35:01,2018-05-07 13:39:52,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 13:35:01,2018-05-07 13:39:17,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-24 05:22:00,2018-07-24 06:15:00,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-24 07:40:15,2018-07-25 03:09:28,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-08-31 08:53:19,2018-08-31 12:36:31,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-06 15:38:08,2018-07-06 16:59:24,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-06-20 23:02:23,2018-06-21 04:57:31,Interna - Programada - Alteracao - Para melhoria,2018
