DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 15:49:38,2024-02-27 17:26:02,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-04-06 09:01:49,2024-04-06 13:30:08,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:39:47,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:42:45,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:39:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:44:45,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:41:49,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 18:39:47,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-12 18:38:53,2024-01-12 18:44:21,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-12 18:38:53,2024-01-12 20:55:40,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
