eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
CEU EMEF BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05588-001,,37324530,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (321415.039255 7390977.019655),-23.581840053474423,-46.750011417972395
CEU EMEI BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05588-001,,37324520,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (321415.039255 7390977.019655),-23.581840053474423,-46.750011417972395
CEU CEI BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05564-000,,,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (321404.066943 7391046.975784),-23.58120724056771,-46.75011052373821
CEU EMEF CESAR ARRUDA CASTANHO DEP,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37830669,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU CEI UIRAPURU,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37831926,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU EMEI UIRAPURU,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37830835,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU CEI PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471971,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (323759.266281 7386464.03958),-23.622843082985852,-46.72758161639081
CEU EMEI PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471967,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (323789.554553 7386530.113598),-23.622249831464956,-46.72727699984955
CEU EMEF PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471964,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (323789.554553 7386530.113598),-23.622249831464956,-46.72727699984955
CEU EMEF CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195226,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU EMEI CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195240,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU CEI CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195246,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU EMEF HERMES FERREIRA DE SOUZA,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434805,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU EMEI LUIZA HELENA FERREIRA PROFA,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434817,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU CEI CAMPO LIMPO,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434831,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU EMEF FEITICO DA VILA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976601,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU EMEI FEITICO DA VILA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976634,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU CEI YOLANDA DE SOUZA SANTALUCIA PROFA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976620,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU CEI VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979831,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU EMEI VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979858,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU EMEF VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979822,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU CEI CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979742,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU EMEI CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979722,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU EMEF CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979747,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU CEI GUARAPIRANGA,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979670,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU EMEI GUARAPIRANGA,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979652,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU EMEF MARIO FITTIPALDI,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979621,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU CEI ELON MACENA,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749858,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (319340.68517 7380703.491182),-23.67436321815842,-46.77157872915092
CEU EMEI LOREANE LALLO PROFA,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749851,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (319441.619344 7380717.818822),-23.67424517774677,-46.77058757409391
CEU EMEF JOSE SARAMAGO,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749862,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (319366.890383 7380754.800692),-23.673902916910134,-46.77131560585565
CEU CEMEI FREGUESIA DO O,"JACUTIBA, 167",PARQUE SAO LUIS,02832-240,,,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEMEI,POINT (327026.933076 7401966.966268),-23.483222888689575,-46.69376655704695
CEU EMEI PAZ,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863419,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU CEI PAZ,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863441,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU EMEF TEOTONIO VILELA SEN,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863423,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU CEI JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975432,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
CEU EMEI JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975436,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
CEU EMEF JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975448,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
CEU CEMEI BARRO BRANCO III,"SALVADOR VIGANO, 88",CONJUNTO HABITACIONAL BARRO BRANCO II,08473-605,,39870442,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEMEI,POINT (358003.176578 7390816.882817),-23.586910694663175,-46.391580448971084
CEU EMEF INACIO MONTEIRO,"BARAO BARROSO DO AMAZONAS, 155",COHAB INACIO MONTEIRO,08472-721,,25189023,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (356006.8 7392906.2),-23.567867631668665,-46.410938852101786
CEU EMEI INACIO MONTEIRO,"BARAO JOAQUIM DO AMPARO, 115",CIDADE TIRADENTES,08472-725,,25189011,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (355899.218789 7392591.404089),-23.570700679430995,-46.41202314951367
CEU CEI JOSELY MARIA CARDOSO BENTO,"BARAO BARROSO DO AMAZONAS, 115",COHAB INACIO MONTEIRO,08472-721,,25189040,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (355985.4 7392727.7),-23.569477590613968,-46.411165718112784
CEU EMEF JAMBEIRO,"JOSE PINHEIRO BORGES, 60",JARDIM HELENA,08420-092,,29602041,LESTE,47,27,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (354632.354981 7396085.135358),-23.53903901299665,-46.42409397019783
CEU EMEI THERESINHA SQUINCA DA SILVA PROFA,"JOSE PINHEIRO BORGES, 60",JARDIM HELENA,08420-092,,29602020,LESTE,47,27,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (354632.354981 7396085.135358),-23.53903901299665,-46.42409397019783
CEU CEI EVANIR APARECIDA HILARIO PROFA,"JOSE PINHEIRO BORGES, 60",JARDIM HELENA,08420-092,,29602012,LESTE,47,27,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (354632.354981 7396085.135358),-23.53903901299665,-46.42409397019783
CEU CEI SILVANA APARECIDA TOBIAS PROFA,"MANUEL DA MOTA COUTINHO, 293",LAJEADO,08451-420,,33976979,LESTE,96,28,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (357117.580568 7395627.2528),-23.54339465612897,-46.399796918816435
CEU EMEI EDNA ALVES DE SOUSA PROFA,"MANUEL DA MOTA COUTINHO, 293",LAJEADO,08451-420,,21539562,LESTE,96,28,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (357117.580568 7395627.2528),-23.54339465612897,-46.399796918816435
CEU EMEF NAZARE NERI LIMA PROFA,"DOS METALURGICOS, 1300",CIDADE TIRADENTES,08471-000,,33963546,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (356406.391335 7390232.882484),-23.592043289064502,-46.40728168208353
CEU EMEI IRENE MANKE MARQUES PROFA,"DOS METALURGICOS, 1262",CIDADE TIRADENTES,08471-000,,33966674,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (356460.246584 7390298.583332),-23.59145478901125,-46.40674767316589
CEU CEI AGUA AZUL,"DOS METALURGICOS, 1262",CIDADE TIRADENTES,08471-000,,33966680,LESTE,25,31,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (356460.246584 7390298.583332),-23.59145478901125,-46.40674767316589
CEU EMEF LAJEADO,"MANUEL DA MOTA COUTINHO, 293",LAJEADO,08451-420,,21539825,LESTE,96,28,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (357117.580568 7395627.2528),-23.54339465612897,-46.399796918816435
CEU CEMEI VILA ALPINA,"JOAO PEDRO LECOR, 141",JARDIM AVELINO,03227-190,,,LESTE,93,29,PRIVADA,CEU,SEM REDE,CEMEI,POINT (340165.7 7390786.2),-23.58552379870394,-46.56634456497044
CEU EMEI ANTONIO FRANCISCO LISBOA,"SAO JOAO CLIMACO, 12",SAO JOAO CLIMACO,04255-010,,29463392,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (337156.987163 7386153.667623),-23.627051960344115,-46.59632703559451
CEU EMEF CAMPOS SALLES PRES,"DAS LAGRIMAS, 2385",IPIRANGA,04232-000,,29476723,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (337621.7 7386719.9),-23.621986119281367,-46.591711096492205
CEU EMEF MENINOS,"BARBINOS, 111",SAO JOAO CLIMACO,04240-110,,29452535,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (338344.119105 7386800.291874),-23.621332708556494,-46.584622968996044
CEU CEI MENINOS,"BARBINOS, 111",SAO JOAO CLIMACO,04240-110,,29452542,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (338344.119105 7386800.291874),-23.621332708556494,-46.584622968996044
CEU EMEI BENNO HUBERT STOLLENWERK PE,"BARBINOS, 111",SAO JOAO CLIMACO,04240-110,,29452519,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (338344.119105 7386800.291874),-23.621332708556494,-46.584622968996044
CEU CEI PARQUE BRISTOL,"PROFESSOR ARTUR PRIMAVESI, S/N",PARQUE BRISTOL,04177-070,,23349160,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (335927.046515 7384287.283538),-23.64377929615318,-46.60858621785328
CEU EMEI LUCIANA AZEVEDO POMPERMAYER PROFA,"PROFESSOR ARTUR PRIMAVESI, S/N",PARQUE BRISTOL,04177-070,,23349166,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (335878.894764 7384220.938485),-23.64437343672658,-46.60906548313262
CEU EMEF MARA CRISTINA TARTAGLIA SENA PROFA,"PROFESSOR ARTUR PRIMAVESI, S/N",PARQUE BRISTOL,04177-070,,23349169,SUL,68,13,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (335912.428735 7384306.42645),-23.64360496578625,-46.60872737474302
CEU CEMEI PARQUE DO CARMO,"GASPAR DA SILVA, 240",JARDIM NOSSA SENHORA DO CARMO,08275-250,,22172120,LESTE,57,27,PRIVADA,CEU,SEM REDE,CEMEI,POINT (349062.2 7392023.4),-23.575206652537382,-46.47905864604024
CEU CEMEI JOSE BONIFACIO,"PROFESSORA LUCILA CERQUEIRA, 194",JARDIM SAO PEDRO,08420-690,,20168873,LESTE,47,27,PRIVADA,CEU,SEM REDE,CEMEI,POINT (354244.557249 7395020.04944),-23.548621927816832,-46.42799599021647
CEU EMEI JOSE GASPAR D,"OLGA FADEL ABARCA, S/N",JARDIM SANTA TEREZINHA ZONA LESTE,03572-020,,27237523,LESTE,24,27,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (346600.890545 7392527.693486),-23.57042166672789,-46.50311909325003
CEU EMEF PAULO GOMES CARDIM PROF DR,"OLGA FADEL ABARCA, S/N",JARDIM SANTA TERESINHA,03572-020,,27237539,LESTE,24,27,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (346604.006563 7392464.925488),-23.570988736113744,-46.50309502023842
CEU EMEI ARICANDUVA,"OLGA FADEL ABARCA, S/N",JARDIM SANTA TEREZINHA ZONA LESTE,03572-020,,27211097,LESTE,24,27,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (346606.208162 7392463.859548),-23.57099856979369,-46.50307356256535
CEU CEI DIRCE MIGLIACCIO,"OLGA FADEL ABARCA, S/N",JARDIM SANTA TEREZINHA ZONA LESTE,03572-020,,27237538,LESTE,24,27,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (346600.890545 7392527.693486),-23.57042166672789,-46.50311909325003
CEU EMEI JARDIM VILA NOVA,"ERNESTO SOUZA CRUZ, 2171",CIDADE ANTONIO ESTEVAO DE CARVALHO,08225-380,,33979000,LESTE,37,27,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (351214.975938 7397926.152425),-23.52210482783995,-46.457380864625236
CEU EMEF CONCEICAO APARECIDA DE JESUS PROFA,"ERNESTO SOUZA CRUZ, 2171",CIDADE ANTONIO ESTEVAO DE CARVALHO,08225-380,,33979056,LESTE,37,27,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (351214.975938 7397926.152425),-23.52210482783995,-46.457380864625236
CEU CEI AZUL DA COR DO MAR,"ERNESTO SOUZA CRUZ, 2171",CIDADE ANTONIO ESTEVAO DE CARVALHO,08225-380,,33979036,LESTE,37,27,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (351214.975938 7397926.152425),-23.52210482783995,-46.457380864625236
CEU CEI ADELAIDE TERESA LOPES CIMONARI PROFA,"SARGENTO CLAUDINER EVARISTO DIAS, 10",PARQUE SANTO ANTONIO,03385-150,,20364303,LESTE,4,26,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (344319.010165 7391320.397872),-23.58110521505085,-46.52559853376467
CEU EMEI FORMOSA,"SARGENTO CLAUDINER EVARISTO DIAS, 10",PARQUE SANTO ANTONIO,03385-150,,20364324,LESTE,4,26,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (344319.010165 7391320.397872),-23.58110521505085,-46.52559853376467
CEU EMEF MARIA APARECIDA DE SOUZA CAMPOS PROFA,"SARGENTO CLAUDINER EVARISTO DIAS, 10",PARQUE SANTO ANTONIO,03385-150,,20364305,LESTE,4,26,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (344319.010165 7391320.397872),-23.58110521505085,-46.52559853376467
CEU CEMEI HORIZONTE AZUL,"SYLVIO TORRES, 295",CONJUNTO HABITACIONAL PADRE JOSE DE ANCH,03589-010,,22170506,LESTE,5,21,PRIVADA,CEU,SEM REDE,CEMEI,POINT (348105.774117 7394493.045701),-23.552816934374263,-46.48817706032839
CEU CEMEI MONTE SERRAT,"MONTE SERRAT, 230",TATUAPE,03312-000,,22964326,LESTE,80,25,PRIVADA,CEU,SEM REDE,CEMEI,POINT (340392.71701 7395831.898422),-23.53998648405655,-46.56358108531302
CEU EMEI PAULO FREIRE PROF,"CONDESSA ELISABETH DE ROBIANO, S/N",VILA MOREIRA,03074-000,,20757480,LESTE,59,21,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (341312.217126 7398322.026533),-23.51759212822247,-46.554311675700355
CEU CEI WALTER DE ANDRADE PROF,"CONDESSA ELISABETH DE ROBIANO, S/N",VILA MOREIRA,03074-000,,20757490,LESTE,59,21,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (341371.922444 7398393.089118),-23.516956303641877,-46.553719510917915
CEU CEI QUINTA DO SOL,"LUIZ IMPARATO, 564",PARQUE CISPER,03819-160,,33963451,LESTE,18,21,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (347190.293614 7400496.069008),-23.498525084520338,-46.49653090608091
CEU EMEI BRAZ JAIME ROMANO,"LUIZ IMPARATO, 564",PARQUE CISPER,03819-160,,33963462,LESTE,18,21,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (347190.293614 7400496.069008),-23.498525084520338,-46.49653090608091
CEU EMEF ROSANGELA RODRIGUES VIEIRA PROFA,"LUIZ IMPARATO, 564",PARQUE CISPER,03819-160,,33963470,LESTE,18,21,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (347190.293614 7400496.069008),-23.498525084520338,-46.49653090608091
CEU EMEF ANTONIO CARLOS ROCHA PROF,"CONDESSA ELISABETH DE ROBIANO, S/N",VILA MOREIRA,03074-000,,20757503,LESTE,59,21,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (341375.494804 7398366.97271),-23.51719247127949,-46.55368729835108
CEU CEMEI PINHEIRINHO DAGUA,"CAMILLO ZANOTTI, 92",CONJUNTO CITY JARAGUA,02998-080,,39281016,NORTE,42,02,PRIVADA,CEU,SEM REDE,CEMEI,POINT (323130.901438 7406865.195428),-23.4385787260776,-46.73132646901774
CEU CEMEI CORETO DE TAIPAS,"JOAO AMADO COUTINHO, 240",CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEI,02815-000,,39712260,NORTE,42,02,PRIVADA,CEU,SEM REDE,CEMEI,POINT (324853.64661 7405813.550566),-23.448259997866607,-46.71459139326867
CEU EMEF PERA MARMELO,"PERAMARMELO, 226",JARDIM SANTA LUCRECIA,05185-420,,39483942,NORTE,42,02,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (321177.101429 7407008.772226),-23.43706914933557,-46.75042775879704
CEU EMEI PERA MARMELO,"PERAMARMELO, 226",JARDIM SANTA LUCRECIA,05185-420,,39483919,NORTE,42,02,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (321177.101429 7407008.772226),-23.43706914933557,-46.75042775879704
CEU CEI PERA MARMELO,"PERAMARMELO, 226",JARDIM SANTA LUCRECIA,05185-420,,39483935,NORTE,42,02,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (321177.101429 7407008.772226),-23.43706914933557,-46.75042775879704
CEU EMEF PERUS,"BERNARDO JOSE DE LORENA, S/N",VILA FANTON,05203-200,,39158732,NORTE,61,01,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (321012.407274 7410443.41171),-23.406040664381834,-46.75163076468182
CEU CEI PERUS,"BERNARDO JOSE DE LORENA, S/N",VILA FANTON,05203-200,,39158717,NORTE,61,01,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (321012.407274 7410443.41171),-23.406040664381834,-46.75163076468182
CEU EMEF VILA ATLANTICA,"CORONEL JOSE VENANCIO DIAS, 840",JARAGUA,05160-030,,39018722,NORTE,95,02,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (319992.698845 7402026.821033),-23.481918913604755,-46.76261438595801
CEU EMEI VILA ATLANTICA,"CORONEL JOSE VENANCIO DIAS, 840",JARAGUA,05160-030,,39018736,NORTE,95,02,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (319992.698845 7402026.821033),-23.481918913604755,-46.76261438595801
CEU CEI VILA ATLANTICA,"CORONEL JOSE VENANCIO DIAS, 840",JARAGUA,05160-030,,39018715,NORTE,95,02,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (319992.698845 7402026.821033),-23.481918913604755,-46.76261438595801
CEU EMEI JORGE AMADO,"BERNARDO JOSE DE LORENA, S/N",VILA FANTON,05203-200,,39158721,NORTE,61,01,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (320982.450802 7410378.615627),-23.406622405244555,-46.75193152428645
CEU CEI PARQUE ANHANGUERA,"PEDRO JOSE DE LIMA, 1020",JARDIM ANHANGUERA,05267-174,,39126051,NORTE,3,01,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317416.259854 7406570.260571),-23.440611196370515,-46.787280687299415
CEU EMEI PARQUE ANHANGUERA,"PEDRO JOSE DE LIMA, 1020",JARDIM ANHANGUERA,05267-174,,39126020,NORTE,3,01,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317416.259854 7406570.260571),-23.440611196370515,-46.787280687299415
CEU EMEF VALTER PAULINO ESTEVAM PROF DR,"PEDRO JOSE DE LIMA, 1020",JARDIM ANHANGUERA,05267-174,,39126041,NORTE,3,01,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317416.259854 7406570.260571),-23.440611196370515,-46.787280687299415
CEU CEI JAGUARE,"KENKITI SHIMOMOTO, 80",JAGUARE,05347-010,,37162179,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (316917.728712 7390878.177101),-23.58222989068524,-46.79407757073659
CEU EMEI JAGUARE,"KENKITI SHIMOMOTO, 80",JAGUARE,05347-010,,37162176,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (316917.728712 7390878.177101),-23.58222989068524,-46.79407757073659
CEU EMEF JAGUARE,"KENKITI SHIMOMOTO, 80",JAGUARE,05347-010,,37162150,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (316917.728712 7390878.177101),-23.58222989068524,-46.79407757073659
CEU EMEF PAULO GONCALO DOS SANTOS PROF,"DO ALVARENGA, 3752",BALNEARIO SAO FRANCISCO,04474-340,,56722516,SUL,58,16,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (332125.605077 7377354.445478),-23.705984317408376,-46.646628419921754
CEU EMEI ALVARENGA,"DO ALVARENGA, 3752",BALNEARIO SAO FRANCISCO,04474-340,,56722512,SUL,58,16,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (332125.605077 7377354.445478),-23.705984317408376,-46.646628419921754
CEU CEI ALVARENGA,"DO ALVARENGA, 3752",BALNEARIO SAO FRANCISCO,04474-340,,56722557,SUL,58,16,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (332125.605077 7377354.445478),-23.705984317408376,-46.646628419921754
CEU CEI CAMINHO DO MAR,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241",VILA DO ENCONTRO,04325-001,,56246457,SUL,38,15,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (333118.940275 7381678.857725),-23.66704275184061,-46.63640154058136
CEU EMEI CAMINHO DO MAR,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241",VILA DO ENCONTRO,04325-001,,33965574,SUL,38,15,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (333118.940275 7381678.857725),-23.66704275184061,-46.63640154058136
CEU EMEF JOSE REZENDE PROF,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241",VILA DO ENCONTRO,04325-001,,33965579,SUL,38,15,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (333118.940275 7381678.857725),-23.66704275184061,-46.63640154058136
CEU EMEI ROSA DA CHINA,"CLARA PETRELA, 113",JARDIM SAO ROBERTO,03978-500,,27012334,LESTE,76,32,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (346836.8 7386861.1),-23.621611336850393,-46.50139048877266
CEU CEI ROSA DA CHINA,"CLARA PETRELA, 113",JARDIM SAO ROBERTO,03978-500,,27012312,LESTE,76,32,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (346836.8 7386861.1),-23.621611336850393,-46.50139048877266
