eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
JACYRA MOYA MARTINS CARVALHO PROFESSORA,"ARISTIDES GUILHEM ALMIRANTE, 38",JARDIM JUSSARA,05526-000,,37519608,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321802.242362 7388622.122963),-23.60314403917605,-46.746499976012856
KEIZO ISHIHARA,"MARIO GESSULLO, 60",CONJUNTO RESIDENCIAL BUTANTA,05540-130,,37219374,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (323998.283837 7391697.92116),-23.575614290068607,-46.72462129101662
KYRILLOS DOUTOR,"ANTONIO ADIB CHAMMAS, 124",INSTITUTO DE PREVIDENCIA,05530-090,,37210066,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (324482.805925 7391646.262846),-23.57613330624191,-46.719881253101654
LOURENCO FILHO PROFESSOR,"TACAUNAS, 181",PLANALTO PAULISTA,04068-020,,55840088,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (332289.743944 7386775.672667),-23.620937699310396,-46.6439547902261
MARIO DE ANDRADE,"JOAQUIM NABUCO, 570",BROOKLIN PAULISTA,04621-003,,55611331,SUL,15,14,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (328453.873122 7386083.504547),-23.626784327561005,-46.681622697587386
MARIA EUGENIA MARTINS PROFESSORA,"ALARICO FRANCO CAIUBI, 651",JAGUARE,05330-012,,37686144,OESTE,41,08,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321530.222531 7395239.924908),-23.543364807577696,-46.748373563426156
FLAVIA VIZIBELI PIRRO PROFESSORA,"ABREU E LIMA PADRE, 107",PARQUE JABAQUARA,04358-130,,50311126,SUL,15,14,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (331319.5 7384782),,
GUIOMAR ROCHA RINALDI PROFESSORA,"RUA DOM FRANCISCO CARDOSO AYRES, 285",JARDIM CAMBARA,05560-010,,37820781,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (318348.954339 7390213.980654),-23.588387808549523,-46.78013874980186
HENRIQUE DUMONT VILLARES,"AVENIDA PRESIDENTE ALTINO, 1131",JAGUARE,05323-001,,37143328,OESTE,41,08,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321188.758052 7395030.446662),-23.54521847298893,-46.751742558527226
ARCHITICLINO SANTOS PROFESSOR,"RUA MAESTRO ITALO IZZO, 110",PARQUE CONTINENTAL,05325-200,,37685469,OESTE,41,08,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (320417.441133 7395398.797081),-23.541807542424895,-46.75925182766916
