name,name2,station,lat,lon,line,neigh
Patriarca-Vila-Re,Patriarca Vila Re,Patriarca-Vila-Re,-23.5311445,-46.5036382,['Vermelha'],"['Artur-Alvim', 'Guilhermina-Esperanca']"
Paulista,Paulista,Paulista,-23.5552461,-46.6622682,['Amarela'],"['Oscar-Freire', 'Higienopolis-Mackenzie']"
Pedro-Ii,Pedro Ii,Pedro-Ii,-23.5496994,-46.6259819,['Vermelha'],"['Bras', 'Se']"
Penha,Penha,Penha,-23.5334949,-46.5426688,['Vermelha'],"['Vila-Matilde', 'Carrao']"
Pinheiros,Pinheiros,Pinheiros,-23.567249,-46.7019515,['Amarela'],"['Butanta', 'Faria-Lima']"
Portuguesa-Tiete,Portuguesa Tiete,Portuguesa-Tiete,-23.51614455,-46.6251494423778,['Azul'],"['Carandiru', 'Armenia']"
Praca-Da-Arvore,Praca Da Arvore,Praca-Da-Arvore,-23.6105051,-46.6379193,['Azul'],"['Santa-Cruz', 'Saude']"
Republica,Republica,Republica,-23.5440945,-46.642665,"['Amarela', 'Vermelha']","['Higienopolis-Mackenzie', 'Luz', 'Anhangabau', 'Santa-Cecilia']"
Sacoma,Sacoma,Sacoma,-23.6012824,-46.6025552,['Verde'],"['Alto-Do-Ipiranga', 'Tamanduatei']"
Santa-Cecilia,Santa Cecilia,Santa-Cecilia,-23.5381047,-46.6489997,['Vermelha'],"['Republica', 'Marechal-Deodoro']"
Santa-Cruz,Santa Cruz,Santa-Cruz,-23.5989383,-46.6388672,"['Azul', 'Lilas']","['Vila-Mariana', 'Praca-Da-Arvore', 'Hospital-Sao-Paulo', 'Chacara-Klabin']"
Santana,Santana,Santana,-23.50258755,-46.6252175408741,['Azul'],"['Jardim-Sao-Paulo-Ayrton-Senna', 'Carandiru']"
Santo-Amaro,Santo Amaro,Santo-Amaro,-23.6562303,-46.7191156,['Lilas'],"['Giovanni-Gronchi', 'Largo-Treze']"
Santos-Imigrantes,Santos Imigrantes,Santos-Imigrantes,-23.5958959,-46.6207594,['Verde'],"['Chacara-Klabin', 'Alto-Do-Ipiranga']"
Santuario-Nossa-Senhora-De-Fatima-Sumare,Santuario Nossa Senhora De Fatima Sumare,Santuario-Nossa-Senhora-De-Fatima-Sumare,-23.5507519,-46.6800962,['Verde'],"['Vila-Madalena', 'Clinicas']"
Sao-Bento,Sao Bento,Sao-Bento,-23.5443802,-46.6363175,['Azul'],"['Luz', 'Se']"
Sao-Joaquim,Sao Joaquim,Sao-Joaquim,-23.5613673,-46.6386013,['Azul'],"['Japao-Liberdade', 'Vergueiro']"
Sao-Judas,Sao Judas,Sao-Judas,-23.6258085,-46.6409209,['Azul'],"['Saude', 'Conceicao']"
Sao-Lucas,Sao Lucas,Sao-Lucas,-23.58882605,-46.5447248260771,['Prata'],"['Oratorio', 'Camilo-Haddad']"
Sao-Paulo-Morumbi,Sao Paulo Morumbi,Sao-Paulo-Morumbi,-23.5861368,-46.7239121,['Amarela'],['Butanta']
Saude,Saude,Saude,-23.6182458,-46.6391896,['Azul'],"['Praca-Da-Arvore', 'Sao-Judas']"
Se,Se,Se,-23.5500992,-46.635515,"['Azul', 'Vermelha']","['Sao-Bento', 'Japao-Liberdade', 'Pedro-Ii', 'Anhangabau']"
Tamanduatei,Tamanduatei,Tamanduatei,-23.5927867,-46.5895167,['Verde'],"['Sacoma', 'Vila-Prudente']"
Tatuape,Tatuape,Tatuape,-23.5402524,-46.5766424,['Vermelha'],"['Carrao', 'Belem']"
Tiradentes,Tiradentes,Tiradentes,-23.5311107,-46.6326154,['Azul'],"['Armenia', 'Luz']"
Trianon-Masp,Trianon Masp,Trianon-Masp,-23.5636427,-46.6538374,['Verde'],"['Consolacao', 'Brigadeiro']"
Tucuruvi,Tucuruvi,Tucuruvi,-23.48006945,-46.6032409661715,['Azul'],['Parada-Inglesa']
Vergueiro,Vergueiro,Vergueiro,-23.5685349,-46.6399175,['Azul'],"['Sao-Joaquim', 'Paraiso']"
Vila-Das-Belezas,Vila Das Belezas,Vila-Das-Belezas,-23.6402476,-46.7457694,['Lilas'],"['Campo-Limpo', 'Giovanni-Gronchi']"
Vila-Madalena,Vila Madalena,Vila-Madalena,-23.5464956,-46.6911243,['Verde'],['Santuario-Nossa-Senhora-De-Fatima-Sumare']
Vila-Mariana,Vila Mariana,Vila-Mariana,-23.5891777,-46.6346681,['Azul'],"['Ana-Rosa', 'Santa-Cruz']"
Vila-Matilde,Vila Matilde,Vila-Matilde,-23.5319166,-46.5308731,['Vermelha'],"['Guilhermina-Esperanca', 'Penha']"
Vila-Prudente,Vila Prudente,Vila-Prudente,-23.5845945,-46.5834369,"['Prata', 'Verde']","['Oratorio', 'Tamanduatei']"
Vila-Tolstoi,Vila Tolstoi,Vila-Tolstoi,-23.60090245,-46.5271210452192,['Prata'],"['Camilo-Haddad', 'Vila-Uniao']"
Vila-Uniao,Vila Uniao,Vila-Uniao,-23.6029664,-46.5155666533518,['Prata'],['Vila-Tolstoi']
